kudos_id,week_number,date,giver_id,giver_name,giver_dept,recipient_id,recipient_name,recipient_dept,category,message,giver_points,recipient_points,company
K000013,51,2026-12-21,1003,Zara Ali,Retail,1248,Ridzwan Teh,Sales,Customer Focus,Went the extra mile for the client and it showed.,10,15,MM Group
K000014,51,2026-12-23,1003,Zara Ali,Retail,1219,Ivan Ali,Technology,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000015,12,2026-03-26,1004,Shirley Chan,Retail,1011,Fatimah Rashid,Retail,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000016,12,2026-03-27,1004,Shirley Chan,Retail,1312,Prakash Singh,Marketing,Teamwork,Goes out of their way to help colleagues succeed.,10,15,MM Group
K000017,6,2026-02-09,1005,Nelson Yap,Retail,1054,Ahmad Ooi,Retail,Integrity,Transparent and honest throughout a tricky project.,10,15,MM Group
K000018,6,2026-02-13,1005,Nelson Yap,Retail,1278,Hafiz Goh,Sales,Problem Solving,Quick thinking under pressure saved the day.,10,15,MM Group
K000019,6,2026-02-09,1005,Nelson Yap,Retail,1345,Harish Aziz,Marketing,Going Above and Beyond,Did far more than was asked and never complained once.,10,15,MM Group
K000020,22,2026-06-05,1005,Nelson Yap,Retail,1370,Lily Singh,Enterprise,Leadership,Stepped up without being asked and made a real difference.,10,15,MM Group
K000021,34,2026-08-25,1005,Nelson Yap,Retail,1125,Grace Soh,Technology,Problem Solving,Solved a problem that had been blocking the team for weeks.,10,15,MM Group
K000022,34,2026-08-26,1005,Nelson Yap,Retail,1350,Azlan Rashid,Marketing,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000023,34,2026-08-24,1005,Nelson Yap,Retail,1159,Ahmad Singh,Technology,Problem Solving,Quick thinking under pressure saved the day.,10,15,MM Group
K000024,40,2026-10-07,1005,Nelson Yap,Retail,1108,Vivian Ali,Retail,Problem Solving,Quick thinking under pressure saved the day.,10,15,MM Group
K000025,42,2026-10-23,1005,Nelson Yap,Retail,1399,Ridzwan Ismail,Enterprise,Customer Focus,Went the extra mile for the client and it showed.,10,15,MM Group
K000026,42,2026-10-19,1005,Nelson Yap,Retail,1456,Sarah Karim,HR,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000027,42,2026-10-19,1005,Nelson Yap,Retail,1491,Christopher Yusof,Corporate Affairs,Innovation,Incredible creative thinking on a tough problem this week.,10,15,MM Group
K000028,15,2026-04-15,1006,Wei Rahman,Retail,1326,Rajesh Lim,Marketing,Mentoring,"Patient, generous with knowledge, and always makes time to help.",10,15,MM Group
K000029,15,2026-04-16,1006,Wei Rahman,Retail,1026,Amelia Ismail,Retail,Teamwork,Goes out of their way to help colleagues succeed.,10,15,MM Group
K000030,16,2026-04-23,1006,Wei Rahman,Retail,1110,Joanne Rahman,Retail,Leadership,Showed real leadership when it mattered most.,10,15,MM Group
K000031,16,2026-04-20,1006,Wei Rahman,Retail,1195,Ridzwan Aziz,Technology,Innovation,Found a smarter way to do something we had been doing wrong for years.,10,15,MM Group
K000032,16,2026-04-24,1006,Wei Rahman,Retail,1193,Ravi Ibrahim,Technology,Innovation,Brought a fresh perspective that completely changed our approach.,10,15,MM Group
K000033,20,2026-05-18,1006,Wei Rahman,Retail,1031,Ganesh Kumar,Retail,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000034,20,2026-05-19,1006,Wei Rahman,Retail,1470,Hafiz Chan,Legal,Leadership,Kept the team focused and motivated during a challenging week.,10,15,MM Group
K000035,27,2026-07-06,1006,Wei Rahman,Retail,1432,Grace Ibrahim,Finance,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000036,41,2026-10-12,1006,Wei Rahman,Retail,1144,Suresh Pillai,Technology,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000037,7,2026-02-18,1007,Ravi Tan,Retail,1010,Azlan Chua,Retail,Leadership,Showed real leadership when it mattered most.,10,15,MM Group
K000038,7,2026-02-19,1007,Ravi Tan,Retail,1437,Zara Chan,Finance,Going Above and Beyond,Exceptional effort this week — the results speak for themselves.,10,15,MM Group
K000039,9,2026-03-03,1007,Ravi Tan,Retail,1361,Eugene Ong,Marketing,Going Above and Beyond,Exceptional effort this week — the results speak for themselves.,10,15,MM Group
K000040,18,2026-05-06,1007,Ravi Tan,Retail,1238,Linda Goh,Sales,Integrity,Transparent and honest throughout a tricky project.,10,15,MM Group
K000041,18,2026-05-05,1007,Ravi Tan,Retail,1001,Pamela Abdullah,Retail,Leadership,Showed real leadership when it mattered most.,10,15,MM Group
K000042,18,2026-05-05,1007,Ravi Tan,Retail,1495,Mohamed Rahman,Corporate Affairs,Going Above and Beyond,Exceptional effort this week — the results speak for themselves.,10,15,MM Group
K000043,36,2026-09-10,1007,Ravi Tan,Retail,1398,Daniel Ismail,Enterprise,Problem Solving,Quick thinking under pressure saved the day.,10,15,MM Group
K000044,47,2026-11-23,1007,Ravi Tan,Retail,1313,Linda Ali,Marketing,Problem Solving,Solved a problem that had been blocking the team for weeks.,10,15,MM Group
K000045,47,2026-11-26,1007,Ravi Tan,Retail,1357,Shankar Koh,Marketing,Problem Solving,Quick thinking under pressure saved the day.,10,15,MM Group
K000046,52,2026-12-30,1007,Ravi Tan,Retail,1485,Shirley Karim,Corporate Affairs,Problem Solving,Found the root cause when everyone else was looking at symptoms.,10,15,MM Group
K000047,51,2026-12-21,1008,Prakash Patel,Retail,1015,Ridzwan Malik,Retail,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000048,51,2026-12-24,1008,Prakash Patel,Retail,1435,Harish Chong,Finance,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000049,51,2026-12-23,1008,Prakash Patel,Retail,1212,Farid Koh,Technology,Integrity,Transparent and honest throughout a tricky project.,10,15,MM Group
K000050,29,2026-07-23,1009,Daniel Yusof,Retail,1119,Ganesh Abdullah,Retail,Mentoring,The team learns so much just by working alongside them.,10,15,MM Group
K000051,30,2026-07-30,1009,Daniel Yusof,Retail,1039,Hafiz Wong,Retail,Integrity,Transparent and honest throughout a tricky project.,10,15,MM Group
K000052,30,2026-07-29,1009,Daniel Yusof,Retail,1246,Vivian Yap,Sales,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000053,30,2026-07-27,1009,Daniel Yusof,Retail,1448,Azlan Hassan,Finance,Innovation,Brought a fresh perspective that completely changed our approach.,10,15,MM Group
K000054,36,2026-09-11,1009,Daniel Yusof,Retail,1312,Prakash Singh,Marketing,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000055,37,2026-09-17,1009,Daniel Yusof,Retail,1279,Eugene Ali,Sales,Mentoring,The team learns so much just by working alongside them.,10,15,MM Group
K000056,37,2026-09-14,1009,Daniel Yusof,Retail,1172,Joanne Singh,Technology,Teamwork,Goes out of their way to help colleagues succeed.,10,15,MM Group
K000057,42,2026-10-21,1009,Daniel Yusof,Retail,1419,Wendy Goh,Enterprise,Leadership,Kept the team focused and motivated during a challenging week.,10,15,MM Group
K000058,42,2026-10-23,1009,Daniel Yusof,Retail,1032,Kavya Aziz,Retail,Teamwork,Goes out of their way to help colleagues succeed.,10,15,MM Group
K000059,45,2026-11-10,1009,Daniel Yusof,Retail,1437,Zara Chan,Finance,Going Above and Beyond,Did far more than was asked and never complained once.,10,15,MM Group
K000060,45,2026-11-12,1009,Daniel Yusof,Retail,1007,Ravi Tan,Retail,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000061,45,2026-11-09,1009,Daniel Yusof,Retail,1249,Mohamed Chua,Sales,Customer Focus,Went the extra mile for the client and it showed.,10,15,MM Group
K000062,12,2026-03-27,1010,Azlan Chua,Retail,1234,Joanne Malik,Sales,Integrity,Handled a difficult situation with complete professionalism.,10,15,MM Group
K000063,24,2026-06-18,1010,Azlan Chua,Retail,1343,Rina Singh,Marketing,Going Above and Beyond,Exceptional effort this week — the results speak for themselves.,10,15,MM Group
K000064,24,2026-06-16,1010,Azlan Chua,Retail,1454,Hafiz Menon,HR,Innovation,Incredible creative thinking on a tough problem this week.,10,15,MM Group
K000065,8,2026-02-23,1011,Fatimah Rashid,Retail,1480,Ridzwan Hamid,Legal,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000066,8,2026-02-25,1011,Fatimah Rashid,Retail,1010,Azlan Chua,Retail,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000067,8,2026-02-23,1011,Fatimah Rashid,Retail,1325,Elaine Teh,Marketing,Problem Solving,Solved a problem that had been blocking the team for weeks.,10,15,MM Group
K000068,31,2026-08-05,1011,Fatimah Rashid,Retail,1321,Fatimah Yap,Marketing,Leadership,Stepped up without being asked and made a real difference.,10,15,MM Group
K000069,31,2026-08-07,1011,Fatimah Rashid,Retail,1377,Harish Chua,Enterprise,Integrity,Handled a difficult situation with complete professionalism.,10,15,MM Group
K000070,31,2026-08-05,1011,Fatimah Rashid,Retail,1171,Prakash Wong,Technology,Leadership,Stepped up without being asked and made a real difference.,10,15,MM Group
K000071,43,2026-10-29,1011,Fatimah Rashid,Retail,1048,Priya Chong,Retail,Innovation,Brought a fresh perspective that completely changed our approach.,10,15,MM Group
K000072,9,2026-03-06,1012,Ganesh Yap,Retail,1486,Christopher Aziz,Corporate Affairs,Customer Focus,Outstanding customer handling — the feedback was glowing.,10,15,MM Group
K000073,9,2026-03-04,1012,Ganesh Yap,Retail,1348,Eugene Karim,Marketing,Innovation,Brought a fresh perspective that completely changed our approach.,10,15,MM Group
K000074,25,2026-06-25,1012,Ganesh Yap,Retail,1315,Diana Ali,Marketing,Leadership,Stepped up without being asked and made a real difference.,10,15,MM Group
K000075,25,2026-06-24,1012,Ganesh Yap,Retail,1338,Mei Aziz,Marketing,Mentoring,The team learns so much just by working alongside them.,10,15,MM Group
K000076,25,2026-06-24,1012,Ganesh Yap,Retail,1078,Yazid Pillai,Retail,Mentoring,"Patient, generous with knowledge, and always makes time to help.",10,15,MM Group
K000077,30,2026-07-30,1012,Ganesh Yap,Retail,1225,Yazid Patel,Sales,Integrity,Handled a difficult situation with complete professionalism.,10,15,MM Group
K000078,30,2026-07-28,1012,Ganesh Yap,Retail,1192,Rina Karim,Technology,Innovation,Found a smarter way to do something we had been doing wrong for years.,10,15,MM Group
K000079,30,2026-07-30,1012,Ganesh Yap,Retail,1375,Ganesh Ong,Enterprise,Integrity,Transparent and honest throughout a tricky project.,10,15,MM Group
K000080,34,2026-08-24,1012,Ganesh Yap,Retail,1420,Natasha Bakar,Finance,Customer Focus,Went the extra mile for the client and it showed.,10,15,MM Group
K000081,34,2026-08-26,1012,Ganesh Yap,Retail,1392,Shirley Chan,Enterprise,Innovation,Brought a fresh perspective that completely changed our approach.,10,15,MM Group
K000082,39,2026-10-02,1012,Ganesh Yap,Retail,1383,Shankar Ooi,Enterprise,Leadership,Kept the team focused and motivated during a challenging week.,10,15,MM Group
K000083,39,2026-09-28,1012,Ganesh Yap,Retail,1021,Jason Tan,Retail,Problem Solving,Found the root cause when everyone else was looking at symptoms.,10,15,MM Group
K000084,2,2026-01-16,1013,Hafiz Menon,Retail,1376,Amelia Rashid,Enterprise,Customer Focus,"Always puts the customer first, even under pressure.",10,15,MM Group
K000085,2,2026-01-14,1013,Hafiz Menon,Retail,1488,Grace Chan,Corporate Affairs,Mentoring,Has been an incredible mentor to new joiners on the team.,10,15,MM Group
K000086,8,2026-02-26,1013,Hafiz Menon,Retail,1330,Ivan Ismail,Marketing,Going Above and Beyond,Did far more than was asked and never complained once.,10,15,MM Group
K000087,8,2026-02-25,1013,Hafiz Menon,Retail,1377,Harish Chua,Enterprise,Mentoring,"Patient, generous with knowledge, and always makes time to help.",10,15,MM Group
K000088,33,2026-08-20,1013,Hafiz Menon,Retail,1011,Fatimah Rashid,Retail,Mentoring,The team learns so much just by working alongside them.,10,15,MM Group
K000089,33,2026-08-20,1013,Hafiz Menon,Retail,1218,Farid Ismail,Technology,Problem Solving,Solved a problem that had been blocking the team for weeks.,10,15,MM Group
K000090,36,2026-09-07,1013,Hafiz Menon,Retail,1364,Eugene Hassan,Marketing,Leadership,Showed real leadership when it mattered most.,10,15,MM Group
K000091,36,2026-09-11,1013,Hafiz Menon,Retail,1485,Shirley Karim,Corporate Affairs,Teamwork,Made the whole project easier with great collaboration.,10,15,MM Group
K000092,47,2026-11-25,1013,Hafiz Menon,Retail,1139,Nurul Chan,Technology,Teamwork,Goes out of their way to help colleagues succeed.,10,15,MM Group
K000093,47,2026-11-25,1013,Hafiz Menon,Retail,1100,Terry Lim,Retail,Problem Solving,Found the root cause when everyone else was looking at symptoms.,10,15,MM Group
K000094,47,2026-11-27,1013,Hafiz Menon,Retail,1263,Lily Chong,Sales,Customer Focus,Outstanding customer handling — the feedback was glowing.,10,15,MM Group
K000095,50,2026-12-18,1013,Hafiz Menon,Retail,1282,Jason Hamid,Sales,Leadership,Kept the team focused and motivated during a challenging week.,10,15,MM Group
K000096,19,2026-05-13,1014,Sarah Lee,Retail,1489,Sarah Nair,Corporate Affairs,Innovation,Incredible creative thinking on a tough problem this week.,10,15,MM Group
K000097,19,2026-05-11,1014,Sarah Lee,Retail,1233,Priya Hassan,Sales,Problem Solving,Found the root cause when everyone else was looking at symptoms.,10,15,MM Group
K000098,19,2026-05-14,1014,Sarah Lee,Retail,1052,Lily Goh,Retail,Teamwork,Goes out of their way to help colleagues succeed.,10,15,MM Group
K000099,39,2026-10-02,1014,Sarah Lee,Retail,1433,Prakash Ismail,Finance,Mentoring,"Patient, generous with knowledge, and always makes time to help.",10,15,MM Group
K000100,1,2026-01-08,1015,Ridzwan Malik,Retail,1449,Wei Pillai,Finance,Leadership,Showed real leadership when it mattered most.,10,15,MM Group
K000101,1,2026-01-07,1015,Ridzwan Malik,Retail,1385,Aisha Abdullah,Enterprise,Problem Solving,Found the root cause when everyone else was looking at symptoms.,10,15,MM Group
K000102,1,2026-01-09,1015,Ridzwan Malik,Retail,1056,Farid Wong,Retail,Problem Solving,Solved a problem that had been blocking the team for weeks.,10,15,MM Group
K000103,17,2026-05-01,1015,Ridzwan Malik,Retail,1159,Ahmad Singh,Technology,Problem Solving,Found the root cause when everyone else was looking at symptoms.,10,15,MM Group
K000104,17,2026-04-29,1015,Ridzwan Malik,Retail,1225,Yazid Patel,Sales,Integrity,Always does the right thing even when no one is watching.,10,15,MM Group
K000105,41,2026-10-15,1015,Ridzwan Malik,Retail,1106,Sarah Ong,Retail,Going Above and Beyond,Exceptional effort this week — the results speak for themselves.,10,15,MM Group
K000106,2,2026-01-13,1016,Farid Ibrahim,Retail,1044,Ravi Goh,Retail,Leadership,Showed real leadership when it mattered most.,10,15,MM Group
K000107,2,2026-01-12,1016,Farid Ibrahim,Retail,1328,Nelson Bakar,Marketing,Customer Focus,Outstanding customer handling — the feedback was glowing.,10,15,MM Group
K000108,3,2026-01-23,1016,Farid Ibrahim,Retail,1397,Siti Ng,Enterprise,Mentoring,Has been an incredible mentor to new joiners on the team.,10,15,MM Group
K000109,3,2026-01-22,1016,Farid Ibrahim,Retail,1373,Kevin Abdullah,Enterprise,Mentoring,"Patient, generous with knowledge, and always makes time to help.",10,15,MM Group
K000110,30,2026-07-31,1016,Farid Ibrahim,Retail,1111,Elaine Kumar,Retail,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000111,42,2026-10-22,1016,Farid Ibrahim,Retail,1340,Hafiz Ibrahim,Marketing,Teamwork,Made the whole project easier with great collaboration.,10,15,MM Group
K000112,45,2026-11-09,1017,Wendy Yusof,Retail,1482,Harish Yap,Legal,Problem Solving,Quick thinking under pressure saved the day.,10,15,MM Group
K000113,1,2026-01-06,1018,Michelle Nair,Retail,1208,Rina Chong,Technology,Integrity,Handled a difficult situation with complete professionalism.,10,15,MM Group
K000114,1,2026-01-09,1018,Michelle Nair,Retail,1110,Joanne Rahman,Retail,Integrity,Handled a difficult situation with complete professionalism.,10,15,MM Group
K000115,23,2026-06-11,1018,Michelle Nair,Retail,1384,Grace Soh,Enterprise,Mentoring,"Patient, generous with knowledge, and always makes time to help.",10,15,MM Group
K000116,23,2026-06-09,1018,Michelle Nair,Retail,1192,Rina Karim,Technology,Leadership,Kept the team focused and motivated during a challenging week.,10,15,MM Group
K000117,23,2026-06-10,1018,Michelle Nair,Retail,1171,Prakash Wong,Technology,Going Above and Beyond,Exceptional effort this week — the results speak for themselves.,10,15,MM Group
K000118,25,2026-06-24,1018,Michelle Nair,Retail,1369,Farid Chong,Marketing,Customer Focus,Went the extra mile for the client and it showed.,10,15,MM Group
K000119,25,2026-06-26,1018,Michelle Nair,Retail,1379,Ganesh Patel,Enterprise,Customer Focus,"Always puts the customer first, even under pressure.",10,15,MM Group
K000120,35,2026-08-31,1018,Michelle Nair,Retail,1016,Farid Ibrahim,Retail,Integrity,Transparent and honest throughout a tricky project.,10,15,MM Group
K000121,38,2026-09-24,1018,Michelle Nair,Retail,1143,Amelia Malik,Technology,Innovation,Found a smarter way to do something we had been doing wrong for years.,10,15,MM Group
K000122,39,2026-09-29,1018,Michelle Nair,Retail,1366,Vivian Teh,Marketing,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000123,39,2026-09-29,1018,Michelle Nair,Retail,1408,Hafiz Lee,Enterprise,Mentoring,The team learns so much just by working alongside them.,10,15,MM Group
K000124,44,2026-11-06,1018,Michelle Nair,Retail,1225,Yazid Patel,Sales,Innovation,Found a smarter way to do something we had been doing wrong for years.,10,15,MM Group
K000125,44,2026-11-03,1018,Michelle Nair,Retail,1460,Hafiz Ong,HR,Mentoring,"Patient, generous with knowledge, and always makes time to help.",10,15,MM Group
K000126,44,2026-11-05,1018,Michelle Nair,Retail,1432,Grace Ibrahim,Finance,Innovation,Incredible creative thinking on a tough problem this week.,10,15,MM Group
K000127,12,2026-03-23,1019,Wendy Hamid,Retail,1350,Azlan Rashid,Marketing,Problem Solving,Solved a problem that had been blocking the team for weeks.,10,15,MM Group
K000128,12,2026-03-23,1019,Wendy Hamid,Retail,1115,Harish Yusof,Retail,Leadership,Showed real leadership when it mattered most.,10,15,MM Group
K000129,43,2026-10-30,1019,Wendy Hamid,Retail,1292,Daniel Yusof,Sales,Customer Focus,"Always puts the customer first, even under pressure.",10,15,MM Group
K000130,43,2026-10-29,1019,Wendy Hamid,Retail,1403,Ganesh Lim,Enterprise,Innovation,Incredible creative thinking on a tough problem this week.,10,15,MM Group
K000131,43,2026-10-29,1019,Wendy Hamid,Retail,1369,Farid Chong,Marketing,Mentoring,Has been an incredible mentor to new joiners on the team.,10,15,MM Group
K000132,45,2026-11-12,1019,Wendy Hamid,Retail,1331,Hafiz Teh,Marketing,Mentoring,The team learns so much just by working alongside them.,10,15,MM Group
K000133,1,2026-01-05,1020,Lily Lim,Retail,1112,Hafiz Ooi,Retail,Mentoring,The team learns so much just by working alongside them.,10,15,MM Group
K000134,27,2026-07-08,1020,Lily Lim,Retail,1105,Pamela Ng,Retail,Mentoring,"Patient, generous with knowledge, and always makes time to help.",10,15,MM Group
K000135,27,2026-07-08,1020,Lily Lim,Retail,1496,Shirley Ismail,Corporate Affairs,Mentoring,The team learns so much just by working alongside them.,10,15,MM Group
K000136,27,2026-07-09,1020,Lily Lim,Retail,1402,Wendy Goh,Enterprise,Going Above and Beyond,Did far more than was asked and never complained once.,10,15,MM Group
K000137,36,2026-09-08,1020,Lily Lim,Retail,1057,Joanne Kumar,Retail,Customer Focus,Went the extra mile for the client and it showed.,10,15,MM Group
K000138,36,2026-09-09,1020,Lily Lim,Retail,1088,Nadia Karim,Retail,Integrity,Always does the right thing even when no one is watching.,10,15,MM Group
K000139,36,2026-09-08,1020,Lily Lim,Retail,1009,Daniel Yusof,Retail,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000140,10,2026-03-11,1021,Jason Tan,Retail,1031,Ganesh Kumar,Retail,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000141,15,2026-04-14,1022,Wei Wong,Retail,1475,Jason Hamid,Legal,Customer Focus,Outstanding customer handling — the feedback was glowing.,10,15,MM Group
K000142,38,2026-09-25,1022,Wei Wong,Retail,1311,Joanne Menon,Marketing,Teamwork,Made the whole project easier with great collaboration.,10,15,MM Group
K000143,45,2026-11-09,1022,Wei Wong,Retail,1354,Elaine Ibrahim,Marketing,Mentoring,"Patient, generous with knowledge, and always makes time to help.",10,15,MM Group
K000144,50,2026-12-18,1022,Wei Wong,Retail,1123,Joanne Lee,Technology,Leadership,Showed real leadership when it mattered most.,10,15,MM Group
K000145,11,2026-03-17,1023,Nadia Malik,Retail,1483,Wendy Chua,Legal,Integrity,Always does the right thing even when no one is watching.,10,15,MM Group
K000146,21,2026-05-29,1023,Nadia Malik,Retail,1283,Siti Aziz,Sales,Going Above and Beyond,Stayed late to make sure the deadline was met — thank you.,10,15,MM Group
K000147,26,2026-07-03,1023,Nadia Malik,Retail,1318,James Ng,Marketing,Problem Solving,Quick thinking under pressure saved the day.,10,15,MM Group
K000148,26,2026-07-01,1023,Nadia Malik,Retail,1082,Zara Kumar,Retail,Going Above and Beyond,Exceptional effort this week — the results speak for themselves.,10,15,MM Group
K000149,26,2026-06-29,1023,Nadia Malik,Retail,1353,Eugene Raj,Marketing,Teamwork,Made the whole project easier with great collaboration.,10,15,MM Group
K000150,43,2026-10-27,1023,Nadia Malik,Retail,1369,Farid Chong,Marketing,Mentoring,"Patient, generous with knowledge, and always makes time to help.",10,15,MM Group
K000151,43,2026-10-29,1023,Nadia Malik,Retail,1076,Ivan Hamid,Retail,Leadership,Kept the team focused and motivated during a challenging week.,10,15,MM Group
K000152,51,2026-12-24,1023,Nadia Malik,Retail,1254,Natasha Hamid,Sales,Teamwork,Always steps up to support the team — true team player.,10,15,MM Group
K000153,19,2026-05-11,1024,Terry Ibrahim,Retail,1264,Ravi Teh,Sales,Innovation,Brought a fresh perspective that completely changed our approach.,10,15,MM Group
K000154,19,2026-05-11,1024,Terry Ibrahim,Retail,1254,Natasha Hamid,Sales,Integrity,Handled a difficult situation with complete professionalism.,10,15,MM Group
K000155,20,2026-05-20,1024,Terry Ibrahim,Retail,1439,Pamela Wong,Finance,Innovation,Incredible creative thinking on a tough problem this week.,10,15,MM Group
K000156,20,2026-05-19,1024,Terry Ibrahim,Retail,1271,Vivian Bakar,Sales,Integrity,Transparent and honest throughout a tricky project.,10,15,MM Group
K000157,20,2026-05-20,1024,Terry Ibrahim,Retail,1443,Shankar Ibrahim,Finance,Leadership,Kept the team focused and motivated during a challenging week.,10,15,MM Group
K000158,40,2026-10-09,1024,Terry Ibrahim,Retail,1040,Elaine Karim,Retail,Integrity,Always does the right thing even when no one is watching.,10,15,MM Group
K000159,40,2026-10-05,1024,Terry Ibrahim,Retail,1167,Natasha Tan,Technology,Teamwork,Made the whole project easier with great collaboration.,10,15,MM Group
K000160,40,2026-10-07,1024,Terry Ibrahim,Retail,1178,Jason Abdullah,Technology,Problem Solving,Found the root cause when everyone else was looking at symptoms.,10,15,MM Group
K000161,42,2026-10-19,1024,Terry Ibrahim,Retail,1420,Natasha Bakar,Finance,Customer Focus,Outstanding customer handling — the feedback was glowing.,10,15,MM Group
K000162,42,2026-10-23,1024,Terry Ibrahim,Retail,1333,Harish Menon,Marketing,Innovation,Brought a fresh perspective that completely changed our approach.,10,15,MM Group
K000163,50,2026-12-15,1024,Terry Ibrahim,Retail,1295,Eugene Wong,Sales,Customer Focus,"Always puts the customer first, even under pressure.",10,15,MM Group
K000164,50,2026-12-15,1024,Terry Ibrahim,Retail,1035,Siti Bakar,Retail,Going Above and Beyond,Did far more than was asked and never complained once.,10,15,MM Group
K000165,13,2026-03-30,1025,Mohamed Chong,Retail,1024,Terry Ibrahim,Retail,Integrity,Always does the right thing even when no one is watching.,10,15,MM Group
K000166,13,2026-03-30,1025,Mohamed Chong,Retail,1286,Shankar Goh,Sales,Customer Focus,"Always puts the customer first, even under pressure.",10,15,MM Group
K000167,34,2026-08-24,1025,Mohamed Chong,Retail,1463,Hafiz Goh,HR,Mentoring,The team learns so much just by working alongside them.,10,15,MM Group
K000168,45,2026-11-11,1025,Mohamed Chong,Retail,1200,James Soh,Technology,Teamwork,Goes out of their way to help colleagues succeed.,10,15,MM Group
K000169,45,2026-11-11,1025,Mohamed Chong,Retail,1139,Nurul Chan,Technology,Problem Solving,Solved a problem that had been blocking the team for weeks.,10,15,MM Group
K000170,46,2026-11-16,1025,Mohamed Chong,Retail,1070,Grace Menon,Retail,Customer Focus,Outstanding customer handling — the feedback was glowing.,10,15,MM Group
K000171,51,2026-12-21,1025,Mohamed Chong,Retail,1014,Sarah Lee,Retail,Integrity,Transparent and honest throughout a tricky project.,10,15,MM Group
K000172,51,2026-12-23,1025,Mohamed Chong,Retail,1427,Ganesh Malik,Finance,Integrity,Transparent and honest throughout a tricky project.,10,15,MM Group
K000173,15,2026-04-17,1026,Amelia Ismail,Retail,1166,Azlan Pillai,Technology,Leadership,Kept the team focused and motivated during a challenging week.,10,15,MM Group
K000174,19,2026-05-14,1026,Amelia Ismail,Retail,1013,Hafiz Menon,Retail,Leadership,Showed real leadership when it mattered most.,10,15,MM Group
K000175,22,2026-06-02,1026,Amelia Ismail,Retail,1095,Ahmad Hassan,Retail,Going Above and Beyond,Exceptional effort this week — the results speak for themselves.,10,15,MM Group
K000176,22,2026-06-01,1026,Amelia Ismail,Retail,1086,Grace Rashid,Retail,Innovation,Brought a fresh perspective that completely changed our approach.,10,15,MM Group
K000177,36,2026-09-09,1026,Amelia Ismail,Retail,1124,Mei Kumar,Technology,Innovation,Incredible creative thinking on a tough problem this week.,10,15,MM Group
